decimalLatitude,decimalLongitude,species,speciesKey,occurrenceStatus,geometry
-33.744031,150.619318,Limnodynastes peronii,2429583.0,1,POINT (150.619318 -33.744031)
-33.5,150.7,Limnodynastes tasmaniensis,2429578.0,1,POINT (150.7 -33.5)
-33.5,150.7,,,1,POINT (150.7 -33.5)
-33.7,150.6,Limnodynastes peronii,2429583.0,1,POINT (150.6 -33.7)
-33.5,150.7,,,1,POINT (150.7 -33.5)
-33.5,150.7,Crinia signifera,2424585.0,1,POINT (150.7 -33.5)
-33.532377,150.739073,Litoria dentata,2427847.0,1,POINT (150.739073 -33.532377)
-33.7702,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7702)
-33.7551,150.724,Limnodynastes peronii,2429583.0,1,POINT (150.724 -33.7551)
-33.500513,150.732802,Litoria dentata,2427847.0,1,POINT (150.732802 -33.500513)
-33.772247,150.666554,Litoria dentata,2427847.0,1,POINT (150.666554 -33.772247)
-33.7588,150.662,Litoria dentata,2427847.0,1,POINT (150.662 -33.7588)
-33.7083,150.614,Litoria latopalmata,2427754.0,1,POINT (150.614 -33.7083)
-33.7595,150.733,Limnodynastes peronii,2429583.0,1,POINT (150.733 -33.7595)
-33.737818,150.624374,Litoria peronii,2427831.0,1,POINT (150.624374 -33.737818)
-33.750366,150.858785,Limnodynastes peronii,2429583.0,1,POINT (150.858785 -33.750366)
-33.6799,150.754,Litoria dentata,2427847.0,1,POINT (150.754 -33.6799)
-33.7589,150.662,Litoria dentata,2427847.0,1,POINT (150.662 -33.7589)
-33.6873,150.55,Limnodynastes peronii,2429583.0,1,POINT (150.55 -33.6873)
-33.6839,150.581,Limnodynastes peronii,2429583.0,1,POINT (150.581 -33.6839)
-33.608673,150.7414,Litoria dentata,2427847.0,1,POINT (150.7414 -33.608673)
-33.730142,150.472202,Limnodynastes peronii,2429583.0,1,POINT (150.472202 -33.730142)
-33.7704,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7704)
-33.751587,150.646484,Limnodynastes peronii,2429583.0,1,POINT (150.646484 -33.751587)
-33.532449,150.738998,Litoria dentata,2427847.0,1,POINT (150.738998 -33.532449)
-33.686208,150.534465,Litoria peronii,2427831.0,1,POINT (150.534465 -33.686208)
-33.743551,150.62544,Limnodynastes peronii,2429583.0,1,POINT (150.62544 -33.743551)
-33.836805,150.645398,Litoria peronii,2427831.0,1,POINT (150.645398 -33.836805)
-33.687346,150.492411,Pseudophryne australis,2424579.0,1,POINT (150.492411 -33.687346)
-33.774077,150.826403,Ranoidea caerulea,10842219.0,1,POINT (150.826403 -33.774077)
-33.7702,150.695,Limnodynastes peronii,2429583.0,1,POINT (150.695 -33.7702)
-33.561596,150.81973,Limnodynastes peronii,2429583.0,1,POINT (150.81973 -33.561596)
-33.686202,150.534275,Litoria peronii,2427831.0,1,POINT (150.534275 -33.686202)
-33.715485,150.607207,Pseudophryne australis,2424579.0,1,POINT (150.607207 -33.715485)
-33.695343,150.552483,Crinia signifera,2424585.0,1,POINT (150.552483 -33.695343)
-33.72415,150.459012,Limnodynastes peronii,2429583.0,1,POINT (150.459012 -33.72415)
-33.7082,150.614,Litoria latopalmata,2427754.0,1,POINT (150.614 -33.7082)
-33.715485,150.607231,Pseudophryne australis,2424579.0,1,POINT (150.607231 -33.715485)
-33.719237,150.419885,Litoria dentata,2427847.0,1,POINT (150.419885 -33.719237)
-33.7311,150.715,Litoria dentata,2427847.0,1,POINT (150.715 -33.7311)
-33.6955,150.555,Limnodynastes peronii,2429583.0,1,POINT (150.555 -33.6955)
-33.7271,150.699,Limnodynastes peronii,2429583.0,1,POINT (150.699 -33.7271)
-33.61,150.808,Litoria fallax,2427671.0,1,POINT (150.808 -33.61)
-33.6878,150.551,Limnodynastes peronii,2429583.0,1,POINT (150.551 -33.6878)
-33.6873,150.55,Limnodynastes peronii,2429583.0,1,POINT (150.55 -33.6873)
-33.6883,150.552,Limnodynastes peronii,2429583.0,1,POINT (150.552 -33.6883)
-33.7154,150.43,Limnodynastes peronii,2429583.0,1,POINT (150.43 -33.7154)
-33.836761,150.64647,Litoria peronii,2427831.0,1,POINT (150.64647 -33.836761)
-33.837677,150.628409,Litoria latopalmata,2427754.0,1,POINT (150.628409 -33.837677)
-33.836823,150.647593,Litoria peronii,2427831.0,1,POINT (150.647593 -33.836823)
-33.836794,150.645427,Litoria peronii,2427831.0,1,POINT (150.645427 -33.836794)
-33.836852,150.645719,Litoria latopalmata,2427754.0,1,POINT (150.645719 -33.836852)
-33.836805,150.645398,Litoria fallax,2427671.0,1,POINT (150.645398 -33.836805)
-33.7311,150.715,Litoria peronii,2427831.0,1,POINT (150.715 -33.7311)
-33.743551,150.62544,Litoria peronii,2427831.0,1,POINT (150.62544 -33.743551)
-33.686202,150.534275,Uperoleia laevigata,2424630.0,1,POINT (150.534275 -33.686202)
-33.836092,150.639774,Litoria tyleri,2427823.0,1,POINT (150.639774 -33.836092)
-33.837016,150.645244,Litoria fallax,2427671.0,1,POINT (150.645244 -33.837016)
-33.836242,150.638081,Litoria fallax,2427671.0,1,POINT (150.638081 -33.836242)
-33.719237,150.419885,Litoria peronii,2427831.0,1,POINT (150.419885 -33.719237)
-33.836761,150.64647,Litoria fallax,2427671.0,1,POINT (150.64647 -33.836761)
-33.7271,150.699,Litoria peronii,2427831.0,1,POINT (150.699 -33.7271)
-33.836913,150.646106,Litoria fallax,2427671.0,1,POINT (150.646106 -33.836913)
-33.837016,150.645244,Litoria peronii,2427831.0,1,POINT (150.645244 -33.837016)
-33.836242,150.638081,Litoria peronii,2427831.0,1,POINT (150.638081 -33.836242)
-33.836151,150.637043,Litoria peronii,2427831.0,1,POINT (150.637043 -33.836151)
-33.836092,150.639774,Litoria peronii,2427831.0,1,POINT (150.639774 -33.836092)
-33.836913,150.646106,Litoria latopalmata,2427754.0,1,POINT (150.646106 -33.836913)
-33.7082,150.614,Crinia signifera,2424585.0,1,POINT (150.614 -33.7082)
-33.719237,150.419885,Limnodynastes peronii,2429583.0,1,POINT (150.419885 -33.719237)
-33.532449,150.738998,Litoria peronii,2427831.0,1,POINT (150.738998 -33.532449)
-33.751587,150.646484,Litoria peronii,2427831.0,1,POINT (150.646484 -33.751587)
-33.686208,150.534465,Uperoleia laevigata,2424630.0,1,POINT (150.534465 -33.686208)
-33.836852,150.645719,Litoria peronii,2427831.0,1,POINT (150.645719 -33.836852)
-33.686208,150.534465,Crinia signifera,2424585.0,1,POINT (150.534465 -33.686208)
-33.7154,150.43,Crinia signifera,2424585.0,1,POINT (150.43 -33.7154)
-33.686202,150.534275,Crinia signifera,2424585.0,1,POINT (150.534275 -33.686202)
