species,common_name
Crinia signifera,common eastern froglet
Litoria fallax,eastern dwarf tree frog
Crinia glauerti,Glauert's Froglet
Austrochaperina pluvialis,Rain Whistling Frog
Ranoidea australis,giant frog
Agalychnis callidryas,red-eyed tree frog
Dendrobates auratus,green-and-black poison dart frog
Rhinophrynus dorsalis,Mexican Burrowing Toad
Atelopus senex,pass stubfoot toad (extinct)
Hyalinobatrachium colymbiphyllum,bare-hearted glass frog
Xenopus laevis,African clawed frog
Chiromantis xerampelina,grey foam-nest tree frog
Breviceps adspersus,common rain frog
Arthroleptella lightfooti,Lightfoot's moss frog
Cacosternum namaquense,Namaqua dainty frog
