decimalLatitude,decimalLongitude,occurrenceStatus
-33.640336,150.687247,1
-33.60924,150.748344,1
-33.68743,150.708166,1
-33.567792,150.790437,1
-33.629142,150.713045,1
-33.612433,150.748625,1
-33.56581,150.772983,1
-33.585573,150.718234,1
-33.569128,150.625032,1
-33.57632,150.627183,1
-33.569143,150.625033,1
-33.569105,150.6249,1
-33.569105,150.6249,1
-33.569144,150.625031,1
-33.660688,150.740692,1
-33.5,150.7,1
-33.6,150.8,1
-33.6,150.8,1
-33.6,150.8,1
-33.6,150.8,1
-33.481819,150.650231,1
-33.557759,150.749367,1
-33.553442,150.749953,1
-33.555895,150.753486,1
-33.55922,150.755845,1
-33.555895,150.753486,1
-33.557759,150.749367,1
-33.55922,150.755845,1
-33.555895,150.753486,1
-33.55922,150.755845,1
-33.555895,150.753486,1
-33.553442,150.749953,1
-33.557759,150.749367,1
-33.554349,150.741831,1
-33.554349,150.741831,1
-33.555895,150.753486,1
-33.555895,150.753486,1
-33.553442,150.749953,1
-33.55922,150.755845,1
-33.5,150.7,1
-33.5,150.7,1
-33.5,150.7,1
-33.5,150.7,1
-33.532377,150.739073,1
-33.500513,150.732802,1
-33.6799,150.754,1
-33.608673,150.7414,1
-33.532449,150.738998,1
-33.561596,150.81973,1
-33.61,150.808,1
-33.532449,150.738998,1
-33.499321,150.699393,1
-33.532449,150.738998,1
-33.561596,150.81973,1
-33.608673,150.7414,1
-33.500513,150.732802,1
-33.532377,150.739073,1
-33.532449,150.738998,1
-33.6799,150.754,1
-33.61,150.808,1
-33.6,150.7,1
-33.524433,150.624232,1
-33.524299,150.624275,1
-33.524322,150.624328,1
-33.526489,150.705633,1
-33.524305,150.624252,1
-33.5642,150.674,1
-33.524414,150.624283,1
-33.52434,150.623758,1
-33.524304,150.624322,1
-33.524468,150.624164,1
-33.524231,150.624044,1
-33.524308,150.623755,1
-33.524246,150.624341,1
-33.677646,150.753069,1
-33.524299,150.624275,1
-33.524299,150.624275,1
-33.52434,150.623758,1
-33.524322,150.624328,1
-33.524231,150.624044,1
-33.524305,150.624252,1
-33.524299,150.624275,1
-33.524304,150.624322,1
-33.5642,150.674,1
-33.524433,150.624232,1
-33.524414,150.624283,1
-33.524308,150.623755,1
-33.524468,150.624164,1
-33.526489,150.705633,1
-33.524246,150.624341,1
-33.619152,150.719854,1
-33.524367,150.624221,1
-33.524278,150.623993,1
-33.682908,150.6763,1
-33.524281,150.624329,1
-33.649821,150.806102,1
-33.524399,150.624285,1
-33.524109,150.624188,1
-33.62507,150.747884,1
-33.524281,150.624329,1
-33.524367,150.624221,1
-33.682908,150.6763,1
-33.524109,150.624188,1
-33.649821,150.806102,1
-33.524367,150.624221,1
-33.524281,150.624329,1
-33.682908,150.6763,1
-33.524278,150.623993,1
-33.524399,150.624285,1
-33.524367,150.624221,1
-33.524281,150.624329,1
-33.682908,150.6763,1
-33.539243,150.754522,1
-33.539243,150.754522,1
-33.539243,150.754522,1
-33.6887,150.78,1
-33.5619,150.82,1
-33.5628,150.82,1
-33.5616,150.82,1
-33.6887,150.78,1
-33.5628,150.82,1
-33.5619,150.82,1
-33.5616,150.82,1
-33.67636,150.7901,1
-33.505871,150.792216,1
-33.524261,150.624139,1
-33.505995,150.792098,1
-33.505995,150.792098,1
-33.505871,150.792216,1
-33.524261,150.624139,1
-33.480304,150.817475,1
-33.524257,150.62429,1
-33.493,150.735,1
-33.5625,150.82,1
-33.524261,150.624211,1
-33.501099,150.68967,1
-33.5625,150.82,1
-33.524261,150.624211,1
-33.480304,150.817475,1
-33.524257,150.62429,1
-33.493,150.735,1
-33.501099,150.68967,1
-33.614752,150.717765,1
-33.614752,150.717765,1
-33.614752,150.717765,1
-33.674516,150.787418,1
-33.524173,150.6237,1
-33.505493,150.792851,1
-33.5029,150.824,1
-33.524173,150.6237,1
-33.505493,150.792851,1
-33.5029,150.824,1
-33.5,150.7,1
-33.5313,150.769,1
-33.6194,150.801,1
-33.480633,150.699869,1
-33.6194,150.801,1
-33.480712,150.699979,1
-33.500885,150.689557,1
-33.501251,150.689404,1
-33.6405,150.803,1
-33.506042,150.791932,1
-33.6194,150.801,1
-33.480835,150.699998,1
-33.501325,150.689474,1
-33.6194,150.801,1
-33.6194,150.801,1
-33.6245,150.804,1
-33.5313,150.769,1
-33.500885,150.689557,1
-33.480633,150.699869,1
-33.5313,150.769,1
-33.480712,150.699979,1
-33.480835,150.699998,1
-33.500885,150.689557,1
-33.480712,150.699979,1
-33.607202,150.781489,1
-33.6245,150.804,1
-33.6506,150.817,1
-33.524095,150.623645,1
-33.524333,150.62442,1
-33.6194,150.801,1
-33.480835,150.699998,1
-33.480712,150.699979,1
-33.506042,150.791932,1
-33.6194,150.801,1
-33.480633,150.699869,1
-33.501251,150.689404,1
-33.501325,150.689474,1
-33.500885,150.689557,1
-33.501251,150.689404,1
-33.480633,150.699869,1
-33.480835,150.699998,1
-33.480712,150.699979,1
-33.501251,150.689404,1
-33.501325,150.689474,1
-33.500885,150.689557,1
-33.6194,150.801,1
-33.607202,150.781489,1
-33.480633,150.699869,1
-33.5313,150.769,1
-33.506042,150.791932,1
-33.501251,150.689404,1
-33.6194,150.801,1
-33.501325,150.689474,1
-33.480712,150.699979,1
-33.6194,150.801,1
-33.500885,150.689557,1
-33.6194,150.801,1
-33.6194,150.801,1
-33.5313,150.769,1
-33.506042,150.791932,1
-33.6405,150.803,1
-33.6194,150.801,1
-33.480712,150.699979,1
-33.5313,150.769,1
-33.501251,150.689404,1
-33.500885,150.689557,1
-33.480633,150.699869,1
-33.480835,150.699998,1
-33.500885,150.689557,1
-33.6506,150.817,1
-33.6245,150.804,1
-33.480712,150.699979,1
-33.524333,150.62442,1
-33.524095,150.623645,1
-33.480835,150.699998,1
-33.6245,150.804,1
-33.6194,150.801,1
-33.5623,150.82,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.597321,150.652787,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.5623,150.82,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.533479,150.660181,1
-33.597321,150.652787,1
-33.6645,150.808,1
-33.6345,150.753,1
-33.558023,150.659961,1
-33.6345,150.753,1
-33.5308,150.654,1
-33.5308,150.654,1
-33.582301,150.709185,1
-33.6646,150.808,1
-33.526203,150.704906,1
-33.603046,150.740368,1
-33.6647,150.808,1
-33.5293,150.761,1
-33.5308,150.654,1
-33.526203,150.704906,1
-33.6345,150.753,1
-33.5293,150.761,1
-33.558023,150.659961,1
-33.526203,150.704906,1
-33.5293,150.761,1
-33.5293,150.761,1
-33.5293,150.761,1
-33.6645,150.808,1
-33.6345,150.753,1
-33.5308,150.654,1
-33.6647,150.808,1
-33.5293,150.761,1
-33.526203,150.704906,1
-33.6345,150.753,1
-33.5308,150.654,1
-33.558023,150.659961,1
-33.603046,150.740368,1
-33.526203,150.704906,1
-33.5308,150.654,1
-33.558023,150.659961,1
-33.6646,150.808,1
-33.6345,150.753,1
-33.526203,150.704906,1
-33.582301,150.709185,1
-33.555528,150.668236,1
-33.555554,150.668223,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.555528,150.668236,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.555554,150.668223,1
-33.677026,150.6251,1
-33.677026,150.6251,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.6345,150.753,1
-33.607587,150.651232,1
-33.49074,150.72834,1
-33.52625,150.704972,1
-33.52625,150.704972,1
-33.670999,150.691261,1
-33.54873,150.728137,1
-33.4929,150.735,1
-33.526273,150.705073,1
-33.5029,150.824,1
-33.526273,150.705073,1
-33.5029,150.824,1
-33.4929,150.735,1
-33.54873,150.728137,1
-33.563521,150.664704,1
-33.563521,150.664704,1
-33.682935,150.676299,1
-33.686454,150.679205,1
-33.5716,150.718,1
-33.5736,150.716,1
-33.683016,150.676375,1
-33.5735,150.716,1
-33.52624,150.704907,1
-33.683016,150.676375,1
-33.52624,150.704907,1
-33.682935,150.676299,1
-33.683016,150.676375,1
-33.5716,150.718,1
-33.5735,150.716,1
-33.683016,150.676375,1
-33.686454,150.679205,1
-33.5736,150.716,1
-33.526359,150.704863,1
-33.526359,150.704863,1
-33.526359,150.704863,1
-33.526359,150.704863,1
-33.526776,150.705155,1
-33.525869,150.704354,1
-33.533909,150.692612,1
-33.533909,150.692612,1
-33.526776,150.705155,1
-33.525869,150.704354,1
-33.526776,150.705155,1
-33.526776,150.705155,1
-33.525869,150.704354,1
-33.525869,150.704354,1
-33.579689,150.702156,1
-33.579689,150.702156,1
-33.579689,150.702156,1
-33.579689,150.702156,1
-33.5607,150.82,1
-33.5619,150.82,1
-33.610995,150.69816,1
-33.5607,150.82,1
-33.610995,150.69816,1
-33.5619,150.82,1
-33.6345,150.753,1
-33.602387,150.728403,1
-33.6344,150.753,1
-33.638,150.802,1
-33.6893,150.756,1
-33.6347,150.753,1
-33.682759,150.676305,1
-33.503,150.824,1
-33.6355,150.753,1
-33.557322,150.799918,1
-33.5866,150.625,1
-33.6351,150.753,1
-33.6838,150.758,1
-33.683901,150.676008,1
-33.6343,150.753,1
-33.6778,150.749,1
-33.503,150.824,1
-33.569597,150.656124,1
-33.645,150.792,1
-33.52627,150.704899,1
-33.6406,150.804,1
-33.6105,150.781,1
-33.673475,150.676264,1
-33.673475,150.676264,1
-33.683901,150.676008,1
-33.682759,150.676305,1
-33.6351,150.753,1
-33.5866,150.625,1
-33.52627,150.704899,1
-33.6351,150.753,1
-33.569597,150.656124,1
-33.5866,150.625,1
-33.52627,150.704899,1
-33.683901,150.676008,1
-33.6351,150.753,1
-33.503,150.824,1
-33.683901,150.676008,1
-33.673475,150.676264,1
-33.682759,150.676305,1
-33.602387,150.728403,1
-33.569597,150.656124,1
-33.638,150.802,1
-33.6778,150.749,1
-33.5866,150.625,1
-33.5866,150.625,1
-33.6351,150.753,1
-33.6351,150.753,1
-33.6345,150.753,1
-33.557322,150.799918,1
-33.683901,150.676008,1
-33.6406,150.804,1
-33.6105,150.781,1
-33.673475,150.676264,1
-33.6838,150.758,1
-33.6893,150.756,1
-33.6355,150.753,1
-33.569597,150.656124,1
-33.5866,150.625,1
-33.503,150.824,1
-33.52627,150.704899,1
-33.645,150.792,1
-33.52627,150.704899,1
-33.682759,150.676305,1
-33.6347,150.753,1
-33.6351,150.753,1
-33.6344,150.753,1
-33.6351,150.753,1
-33.6343,150.753,1
-33.683901,150.676008,1
-33.52627,150.704899,1
-33.6345,150.753,1
-33.481098,150.700024,1
-33.5453,150.809,1
-33.6411,150.8,1
-33.557893,150.659983,1
-33.6349,150.753,1
-33.481101,150.700011,1
-33.481095,150.699956,1
-33.5453,150.809,1
-33.5453,150.809,1
-33.5452,150.809,1
-33.5453,150.809,1
-33.5453,150.809,1
-33.586639,150.644441,1
-33.481089,150.700013,1
-33.481379,150.698765,1
-33.4927,150.736,1
-33.5453,150.809,1
-33.6354,150.811,1
-33.6355,150.811,1
-33.5163,150.821,1
-33.5543,150.697,1
-33.6407,150.803,1
-33.586754,150.644473,1
-33.613997,150.744633,1
-33.511454,150.696506,1
-33.5453,150.81,1
-33.501467,150.689442,1
-33.557827,150.660452,1
-33.586699,150.644543,1
-33.511449,150.696507,1
-33.586707,150.644562,1
-33.501466,150.689505,1
-33.5155,150.824,1
-33.6405,150.803,1
-33.5314,150.769,1
-33.501466,150.689505,1
-33.6355,150.811,1
-33.5155,150.824,1
-33.586699,150.644543,1
-33.511454,150.696506,1
-33.481095,150.699956,1
-33.586707,150.644562,1
-33.5543,150.697,1
-33.5453,150.809,1
-33.586639,150.644441,1
-33.511449,150.696507,1
-33.5163,150.821,1
-33.586754,150.644473,1
-33.501466,150.689505,1
-33.481095,150.699956,1
-33.586707,150.644562,1
-33.501467,150.689442,1
-33.481379,150.698765,1
-33.481089,150.700013,1
-33.6354,150.811,1
-33.481379,150.698765,1
-33.4927,150.736,1
-33.481098,150.700024,1
-33.5453,150.809,1
-33.5163,150.821,1
-33.501467,150.689442,1
-33.5453,150.809,1
-33.5453,150.81,1
-33.586754,150.644473,1
-33.5453,150.809,1
-33.5155,150.824,1
-33.481089,150.700013,1
-33.5543,150.697,1
-33.5163,150.821,1
-33.511449,150.696507,1
-33.481095,150.699956,1
-33.586699,150.644543,1
-33.5453,150.809,1
-33.5453,150.809,1
-33.481101,150.700011,1
-33.5163,150.821,1
-33.586699,150.644543,1
-33.586639,150.644441,1
-33.6355,150.811,1
-33.5453,150.809,1
-33.5453,150.809,1
-33.6411,150.8,1
-33.481089,150.700013,1
-33.481379,150.698765,1
-33.5163,150.821,1
-33.5155,150.824,1
-33.613997,150.744633,1
-33.501466,150.689505,1
-33.5453,150.81,1
-33.5155,150.824,1
-33.511454,150.696506,1
-33.5453,150.809,1
-33.5453,150.809,1
-33.501466,150.689505,1
-33.5453,150.809,1
-33.511449,150.696507,1
-33.6354,150.811,1
-33.586754,150.644473,1
-33.5314,150.769,1
-33.481095,150.699956,1
-33.5453,150.809,1
-33.586639,150.644441,1
-33.5163,150.821,1
-33.481089,150.700013,1
-33.5453,150.81,1
-33.586754,150.644473,1
-33.6405,150.803,1
-33.5155,150.824,1
-33.586707,150.644562,1
-33.481379,150.698765,1
-33.557893,150.659983,1
-33.6349,150.753,1
-33.6354,150.811,1
-33.6355,150.811,1
-33.5543,150.697,1
-33.511454,150.696506,1
-33.481098,150.700024,1
-33.5453,150.809,1
-33.501467,150.689442,1
-33.557827,150.660452,1
-33.6407,150.803,1
-33.501466,150.689505,1
-33.586754,150.644473,1
-33.586707,150.644562,1
-33.5543,150.697,1
-33.5453,150.809,1
-33.481379,150.698765,1
-33.5452,150.809,1
-33.4927,150.736,1
-33.501467,150.689442,1
-33.586707,150.644562,1
-33.5163,150.821,1
-33.481095,150.699956,1
-33.481098,150.700024,1
-33.4927,150.736,1
-33.5543,150.697,1
-33.481089,150.700013,1
-33.501467,150.689442,1
-33.6345,150.753,1
-33.5253,150.666,1
-33.6729,150.757,1
-33.5866,150.625,1
-33.5254,150.666,1
-33.506482,150.809026,1
