decimalLatitude,decimalLongitude,occurrenceStatus,species
-33.617786,150.91293,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.838575,151.071142,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.839198,151.071667,1,Crinia signifera
-33.838575,151.071142,1,Crinia signifera
-34.0,151.0,1,Crinia signifera
-33.5,150.7,1,Crinia signifera
-34.085898,151.019683,1,Crinia signifera
-33.6412,150.29,1,Crinia signifera
-33.6189,151.015,1,Crinia signifera
-34.095501,150.979344,1,Crinia signifera
-33.255225,150.19391,1,Crinia signifera
-34.095552,150.979378,1,Crinia signifera
-33.695343,150.552483,1,Crinia signifera
-33.670821,150.958151,1,Crinia signifera
-33.712214,150.328457,1,Crinia signifera
-34.069213,150.448232,1,Crinia signifera
-33.726489,150.34086,1,Crinia signifera
-33.691139,150.371433,1,Crinia signifera
-33.715046,150.316531,1,Crinia signifera
-33.727325,150.30068,1,Crinia signifera
-33.634,150.292,1,Crinia signifera
-33.6186,151.015,1,Crinia signifera
-34.1992,150.871,1,Crinia signifera
-34.069172,150.448201,1,Crinia signifera
-33.703979,150.301906,1,Crinia signifera
-34.095607,150.979367,1,Crinia signifera
-33.505028,150.371506,1,Crinia signifera
-33.479,150.238,1,Crinia signifera
-34.069287,150.448333,1,Crinia signifera
-34.1394,150.994,1,Crinia signifera
-34.069232,150.448137,1,Crinia signifera
-34.069172,150.44819,1,Crinia signifera
-33.627078,151.143644,1,Crinia signifera
-33.6347,150.292,1,Crinia signifera
-33.7261,150.3,1,Crinia signifera
-33.7082,150.614,1,Crinia signifera
-33.744965,151.029125,1,Crinia signifera
-33.536795,150.193516,1,Crinia signifera
-34.069195,150.448138,1,Crinia signifera
-33.698702,150.365337,1,Crinia signifera
-33.698834,150.365609,1,Crinia signifera
-33.253498,150.195155,1,Crinia signifera
-33.6337,150.293,1,Crinia signifera
-33.686208,150.534465,1,Crinia signifera
-33.7154,150.43,1,Crinia signifera
-33.686202,150.534275,1,Crinia signifera
-33.708396,150.985482,1,Crinia signifera
-33.703935,150.301647,1,Crinia signifera
-33.251192,150.194997,1,Crinia signifera
-34.069172,150.44819,1,Crinia signifera
-33.7261,150.3,1,Crinia signifera
-34.069195,150.448138,1,Crinia signifera
-33.698834,150.365609,1,Crinia signifera
-33.253498,150.195155,1,Crinia signifera
-34.069287,150.448333,1,Crinia signifera
-33.726489,150.34086,1,Crinia signifera
-33.6347,150.292,1,Crinia signifera
-33.703979,150.301906,1,Crinia signifera
-33.7154,150.43,1,Crinia signifera
-33.6189,151.015,1,Crinia signifera
-33.691139,150.371433,1,Crinia signifera
-33.6337,150.293,1,Crinia signifera
-34.095552,150.979378,1,Crinia signifera
-34.095501,150.979344,1,Crinia signifera
-33.505028,150.371506,1,Crinia signifera
-33.479,150.238,1,Crinia signifera
-33.255225,150.19391,1,Crinia signifera
-33.7082,150.614,1,Crinia signifera
-33.744965,151.029125,1,Crinia signifera
-34.069172,150.448201,1,Crinia signifera
-33.6412,150.29,1,Crinia signifera
-34.085898,151.019683,1,Crinia signifera
-33.6186,151.015,1,Crinia signifera
-33.703935,150.301647,1,Crinia signifera
-33.686202,150.534275,1,Crinia signifera
-33.698702,150.365337,1,Crinia signifera
-33.686208,150.534465,1,Crinia signifera
-33.627078,151.143644,1,Crinia signifera
-33.634,150.292,1,Crinia signifera
-34.1992,150.871,1,Crinia signifera
-33.251192,150.194997,1,Crinia signifera
-33.727325,150.30068,1,Crinia signifera
-33.695343,150.552483,1,Crinia signifera
-33.715046,150.316531,1,Crinia signifera
-34.069232,150.448137,1,Crinia signifera
-33.536795,150.193516,1,Crinia signifera
-34.095607,150.979367,1,Crinia signifera
-34.069213,150.448232,1,Crinia signifera
-34.1394,150.994,1,Crinia signifera
-33.708396,150.985482,1,Crinia signifera
-34.0617,150.523911,1,Crinia signifera
-33.836398,151.059792,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.838575,151.071142,1,Crinia signifera
-33.840416,151.07044,1,Crinia signifera
-33.836398,151.059792,1,Crinia signifera
-33.737,151.079,1,Crinia signifera
-33.7075,150.985,1,Crinia signifera
-34.1477,150.827,1,Crinia signifera
-33.7258,150.3,1,Crinia signifera
-33.6873,150.55,1,Crinia signifera
-33.86771,150.68807,1,Crinia signifera
-33.595816,150.92327,1,Crinia signifera
-33.684083,150.893242,1,Crinia signifera
-33.6756,150.547,1,Crinia signifera
-33.6987,150.365446,1,Crinia signifera
-33.654269,151.069994,1,Crinia signifera
-34.08551,151.019588,1,Crinia signifera
-33.66442,151.114782,1,Crinia signifera
-33.6814,151.104,1,Crinia signifera
-33.719571,150.567008,1,Crinia signifera
-33.6756,150.547,1,Crinia signifera
-33.719571,150.567008,1,Crinia signifera
-33.654269,151.069994,1,Crinia signifera
-33.66442,151.114782,1,Crinia signifera
-33.7075,150.985,1,Crinia signifera
-33.6987,150.365446,1,Crinia signifera
-33.737,151.079,1,Crinia signifera
-34.1477,150.827,1,Crinia signifera
-33.7258,150.3,1,Crinia signifera
-33.6873,150.55,1,Crinia signifera
-34.08551,151.019588,1,Crinia signifera
-33.6814,151.104,1,Crinia signifera
-33.792513,151.014798,1,Crinia signifera
-34.182293,150.561523,1,Crinia signifera
-34.183239,150.560394,1,Crinia signifera
-34.165447,150.595642,1,Crinia signifera
-34.17775,150.5867,1,Crinia signifera
-34.197052,150.593506,1,Crinia signifera
-34.193031,150.601425,1,Crinia signifera
-34.168602,150.590668,1,Crinia signifera
-34.162151,150.585953,1,Crinia signifera
-34.182594,150.560974,1,Crinia signifera
-34.189205,150.546204,1,Crinia signifera
-34.169666,150.574081,1,Crinia signifera
-34.174122,150.580215,1,Crinia signifera
-34.189537,150.545319,1,Crinia signifera
-34.2389,150.918,1,Crinia signifera
-33.911171,151.141549,1,Crinia signifera
-33.759817,151.113229,1,Crinia signifera
-34.2372,150.917,1,Crinia signifera
-33.9801,150.839,1,Crinia signifera
-33.918028,150.943814,1,Crinia signifera
-33.679901,151.124341,1,Crinia signifera
-33.750298,150.464127,1,Crinia signifera
-33.524322,150.624328,1,Crinia signifera
-34.037893,151.026391,1,Crinia signifera
-33.747345,150.861349,1,Crinia signifera
-33.7245,151.102,1,Crinia signifera
-33.507283,150.371501,1,Crinia signifera
-33.608338,150.89028,1,Crinia signifera
-33.911194,151.141521,1,Crinia signifera
-33.619,151.015,1,Crinia signifera
-34.194924,150.980082,1,Crinia signifera
-33.75771,150.622316,1,Crinia signifera
-34.2334,150.966,1,Crinia signifera
-34.037848,151.026466,1,Crinia signifera
-33.743408,150.861061,1,Crinia signifera
-33.7078,150.292,1,Crinia signifera
-33.7331,150.633,1,Crinia signifera
-33.743561,150.860466,1,Crinia signifera
-34.2391,150.918,1,Crinia signifera
-33.7043,151.145,1,Crinia signifera
-33.618912,151.082895,1,Crinia signifera
-33.695384,150.552416,1,Crinia signifera
-33.747314,150.862256,1,Crinia signifera
-33.963345,150.957877,1,Crinia signifera
-33.619,151.015,1,Crinia signifera
-33.4741,150.173,1,Crinia signifera
-33.743866,150.861559,1,Crinia signifera
-33.7586,150.852,1,Crinia signifera
-34.08609,151.019151,1,Crinia signifera
-33.7895,151.145,1,Crinia signifera
-33.619,151.015,1,Crinia signifera
-33.7563,151.111,1,Crinia signifera
-33.52434,150.623758,1,Crinia signifera
-33.253463,150.195099,1,Crinia signifera
-33.7078,150.292,1,Crinia signifera
-34.239,150.918,1,Crinia signifera
-33.618847,151.082931,1,Crinia signifera
-33.253638,150.195252,1,Crinia signifera
-33.6607,151.132,1,Crinia signifera
-33.524231,150.624044,1,Crinia signifera
-33.524308,150.623755,1,Crinia signifera
-33.524246,150.624341,1,Crinia signifera
-33.752727,151.033234,1,Crinia signifera
-33.366628,150.167181,1,Crinia signifera
-33.376148,150.185355,1,Crinia signifera
-33.36588,150.186588,1,Crinia signifera
-33.358193,150.164941,1,Crinia signifera
-33.365771,150.1818,1,Crinia signifera
-33.361017,150.178902,1,Crinia signifera
-34.111036,150.782409,1,Crinia signifera
-33.361066,150.179051,1,Crinia signifera
-33.674123,150.92292,1,Crinia signifera
-33.382032,150.199167,1,Crinia signifera
-33.396918,150.226097,1,Crinia signifera
-33.37362,150.187198,1,Crinia signifera
-33.365771,150.1818,1,Crinia signifera
-33.396918,150.226097,1,Crinia signifera
-33.702543,150.879391,1,Crinia signifera
-33.396918,150.226097,1,Crinia signifera
-33.396918,150.226097,1,Crinia signifera
-33.368363,150.186755,1,Crinia signifera
-33.365771,150.1818,1,Crinia signifera
-33.396918,150.226097,1,Crinia signifera
-33.365771,150.1818,1,Crinia signifera
-33.421996,150.201496,1,Crinia signifera
-33.752727,151.033234,1,Crinia signifera
-33.414196,150.191039,1,Crinia signifera
-34.2156,150.545,1,Crinia signifera
-33.524299,150.624275,1,Crinia signifera
-33.726073,150.460245,1,Crinia signifera
-33.839328,151.062578,1,Crinia signifera
-33.9372,151.118,1,Crinia signifera
-33.6967,151.149,1,Crinia signifera
-33.69865,150.365558,1,Crinia signifera
-34.1478,150.827,1,Crinia signifera
-34.2156,150.545,1,Crinia signifera
-33.745924,150.952795,1,Crinia signifera
-33.725967,150.460311,1,Crinia signifera
-34.2389,150.918,1,Crinia signifera
-33.251209,150.195038,1,Crinia signifera
-33.7043,150.988,1,Crinia signifera
-33.726282,150.460713,1,Crinia signifera
-33.618613,151.08269,1,Crinia signifera
-33.681671,151.124854,1,Crinia signifera
-33.833778,151.066952,1,Crinia signifera
-33.726119,150.460259,1,Crinia signifera
-33.256528,150.187936,1,Crinia signifera
-33.757446,150.622532,1,Crinia signifera
-34.009964,150.868985,1,Crinia signifera
-33.842278,150.607832,1,Crinia signifera
-33.505034,150.371727,1,Crinia signifera
-33.746759,150.861784,1,Crinia signifera
-33.7043,150.988,1,Crinia signifera
-34.085388,151.019472,1,Crinia signifera
-33.700837,150.251546,1,Crinia signifera
-34.1477,150.827,1,Crinia signifera
-33.608338,150.89028,1,Crinia signifera
-33.745924,150.952795,1,Crinia signifera
-34.239,150.918,1,Crinia signifera
-33.507283,150.371501,1,Crinia signifera
-33.524299,150.624275,1,Crinia signifera
-33.251209,150.195038,1,Crinia signifera
-33.52434,150.623758,1,Crinia signifera
-33.618912,151.082895,1,Crinia signifera
-33.619,151.015,1,Crinia signifera
-33.743408,150.861061,1,Crinia signifera
-33.679901,151.124341,1,Crinia signifera
-33.7331,150.633,1,Crinia signifera
-33.695384,150.552416,1,Crinia signifera
-34.2334,150.966,1,Crinia signifera
-33.69865,150.365558,1,Crinia signifera
-33.743866,150.861559,1,Crinia signifera
-33.918028,150.943814,1,Crinia signifera
-33.746759,150.861784,1,Crinia signifera
-34.037848,151.026466,1,Crinia signifera
-33.524322,150.624328,1,Crinia signifera
-33.6607,151.132,1,Crinia signifera
-33.963345,150.957877,1,Crinia signifera
-33.524231,150.624044,1,Crinia signifera
-33.618613,151.08269,1,Crinia signifera
-34.2391,150.918,1,Crinia signifera
-34.1478,150.827,1,Crinia signifera
-33.4741,150.173,1,Crinia signifera
-33.256528,150.187936,1,Crinia signifera
-34.194924,150.980082,1,Crinia signifera
-33.743561,150.860466,1,Crinia signifera
-34.085388,151.019472,1,Crinia signifera
-33.759817,151.113229,1,Crinia signifera
-33.726119,150.460259,1,Crinia signifera
-33.619,151.015,1,Crinia signifera
-33.7895,151.145,1,Crinia signifera
-33.9372,151.118,1,Crinia signifera
-33.757446,150.622532,1,Crinia signifera
-33.253463,150.195099,1,Crinia signifera
-34.009964,150.868985,1,Crinia signifera
-34.2389,150.918,1,Crinia signifera
-33.7563,151.111,1,Crinia signifera
-33.833778,151.066952,1,Crinia signifera
-33.618847,151.082931,1,Crinia signifera
-34.2372,150.917,1,Crinia signifera
-33.700837,150.251546,1,Crinia signifera
